,MOVIE_ID,TITLE,TMDB_ID,title,director,production_companies,genres,popularity,rating,actors,overview
46,47,Fight Club,550,Fight Club,['David Fincher'],"['Fox 2000 Pictures', 'Regency Enterprises', 'The Linson Company', '20th Century Fox', 'Taurus Film']",['Drama'],106.668,8.4,"['Brad Pitt', 'Helena Bonham Carter', 'Jared Leto', 'Eion Bailey', 'Edward Norton', 'Richmond Arquette', 'Holt McCallany', 'Zach Grenier', 'Bob Stephenson', 'Evan Mirand']","['insomniac', 'therapy', 'slippery', 'soap', 'salesman', 'channel', 'primal', 'male', 'aggression', 'shocking']"
47,48,Finding Nemo,12,Finding Nemo,['Andrew Stanton'],['Pixar'],"['Animation', 'Family']",117.336,7.819,"['Willem Dafoe', 'Elizabeth Perkins', 'Allison Janney', 'Stephen Root', 'Eric Bana', 'Geoffrey Rush', 'Vanessa Marano', 'Erik Per Sullivan', 'Laura Marano', 'Brad Garrett']","['Great', 'Barrier', 'Reef', 'clownfish', 'aquarium', 'Nemo', 'home', 'adventurous', 'young', 'unexpectedly']"
48,49,Forrest Gump,13,Forrest Gump,['Robert Zemeckis'],"['Paramount Pictures', 'The Steve Tisch Company', 'Wendy Finerman Productions']","['Comedy', 'Drama', 'Romance']",187.629,8.472,"['Tom Hanks', 'Haley Joel Osment', 'Kurt Russell', 'Sally Field', 'Robin Wright', 'Sam Anderson', 'Marla Sucharetza', 'Elizabeth Hanks', 'Mykelti Williamson', 'John F. Kennedy']","['events', 'case', 'man', 'low', 'accomplished', 'great', 'things', 'life', 'present', 'significant']"
49,50,Full Metal Jacket,600,Full Metal Jacket,['Stanley Kubrick'],"['Natant', 'Kubrick Productions', 'Warner Bros. Pictures']","['Drama', 'War']",62.998,8.1,"[""Vincent D'Onofrio"", 'Adam Baldwin', 'Stanley Kubrick', 'Matthew Modine', ""Ed O'Ross"", 'Arliss Howard', 'John Terry', 'R. Lee Ermey', 'Dorian Harewood', 'Kevyn Major Howard']","['Marine', 'Vietnam', 'Hue', 'War', 'pragmatic', 'observes', 'dehumanizing', 'effects', 'fellow', 'recruits']"
50,51,Gandhi,783,Gandhi,['Richard Attenborough'],"['Goldcrest', 'Indo-British', 'International Film Investors', 'National Film Development Corporation of India', 'Columbia Pictures']","['Drama', 'History']",21.253,7.6,"['Ben Kingsley', 'Candice Bergen', 'Geraldine James', 'Amrish Puri', 'Martin Sheen', 'Daniel Day-Lewis', 'Dalip Tahil', 'Edward Fox', 'Colin Farrell', 'John Mills']","['Mohandas', 'century', 'British-trained', 'Indian', 'Gandhi', 'lawyer', 'forsakes', 'independence', 'early', 'years']"
51,52,Gladiator,98,Gladiator,['Ridley Scott'],"['Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'DreamWorks Pictures']","['Action', 'Drama', 'Adventure']",152.294,8.2,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Tommy Flanagan', 'Richard Harris', 'Djimon Hounsou', 'David Hemmings', 'Oliver Reed', 'Spencer Treat Clark', 'Tony Curran']","['Maximus', 'Roman', 'Marcus', 'Aurelius', 'Empire', 'emperor', 'year', 'chaos', 'throws', 'death']"
52,53,Gone with the Wind,770,Gone with the Wind,['Victor Fleming'],"['Selznick International Pictures', 'Metro-Goldwyn-Mayer']","['Drama', 'War', 'Romance']",49.05,7.9,"['Clark Gable', 'Richard Farnsworth', 'George Reeves', 'Vivien Leigh', 'Frank Faylen', 'Leslie Howard', 'Thomas Mitchell', 'Evelyn Keyes', 'Hattie McDaniel', 'Ward Bond']","['Era', 'Georgia', 'American', 'Civil', 'War', 'Reconstruction', 'spoiled', 'daughter', 'plantation', 'owner']"
53,54,Good Will Hunting,489,Good Will Hunting,['Gus Van Sant'],"['Miramax', 'Lawrence Bender Productions', 'Be Gentlemen Limited Partnership']",['Drama'],148.253,8.16,"['Matt Damon', 'Ben Affleck', 'Robin Williams', 'Cole Hauser', 'Minnie Driver', 'Casey Affleck', 'Stellan Skarsgård', 'Richard Fitzpatrick', 'Scott William Winters', 'Michael Arthur']","['genius', 'back', 'professors', 'discover', 'aimless', 'janitor', 'math', 'therapist', 'young', 'man']"
54,55,Goodfellas,769,GoodFellas,['Martin Scorsese'],['Winkler Films'],"['Drama', 'Crime']",85.398,8.5,"['Samuel L. Jackson', 'Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco', 'Michael Imperioli', 'Debi Mazar', 'Tobin Bell', 'Nicole Burdette', 'Mike Starr']","['Hill', 'Conway', 'Henry', 'Brooklyn', 'Mafia', 'Jimmy', 'half-Irish', 'half-Sicilian', 'true', 'story']"
55,56,Gran Torino,13223,Gran Torino,['Clint Eastwood'],"['Matten Productions', 'Double Nickel Entertainment', 'Gerber Pictures', 'Malpaso Productions', 'Village Roadshow Pictures', 'WV Films IV', 'Warner Bros. Pictures']",['Drama'],53.193,8.0,"['Clint Eastwood', 'Scott Eastwood', 'Brian Howe', 'Ahney Her', 'John Carroll Lynch', 'Cory Hardrict', 'William Hill', 'Geraldine Hughes', 'Dreama Walker', 'Brian Haley']","['Thao', 'Lor', 'Gran', 'Torino', 'Kowalski', 'Korean', 'War', 'Walt', 'Hmong', 'Disgruntled']"
