1218;1;0.033333;0.066667;0.100000;0.700000;0.100000
1769;2;0.033333;0.000000;0.000000;0.000000;0.966667
1231;1;0.000000;0.500000;0.133333;0.133333;0.233333
131;1;0.000000;0.000000;9134537958619788965411430705659904.000000;0.000000;0.000000
674;5;0.000000;0.000000;0.000000;0.900000;0.100000
673;9;0.000000;0.000000;0.000000;0.000000;1.000000
702;3;0.866667;0.100000;0.000000;0.000000;0.033333
1779;2;0.033333;0.033333;0.900000;0.033333;0.000000
1237;9;0.000000;0.000000;0.000000;0.000000;1.000000
154;2;0.066667;0.033333;0.800000;0.066667;0.033333
1238;1;0.400000;0.000000;0.033333;0.533333;0.033333
701;2;0.000000;0.066667;0.000000;0.900000;0.033333
156;3;0.033333;0.233333;0.133333;0.600000;0.000000
1232;3;0.033333;0.000000;0.000000;0.966667;0.000000
1234;2;0.200000;0.033333;0.666667;0.100000;0.000000
1235;2;0.033333;0.100000;0.666667;0.166667;0.033333
1781;1;0.000000;0.500000;0.000000;0.466667;0.033333
1244;7;0.066667;0.200000;0.000000;0.733333;0.000000
692;2;0.033333;0.166667;0.233333;0.500000;0.066667
1785;1;0.000000;0.066667;0.000000;0.866667;0.066667
148;2;0.000000;0.000000;0.000000;0.933333;0.066667
149;6;0.000000;0.066667;0.033333;0.866667;0.033333
151;1;0.000000;0.566667;0.033333;0.400000;0.000000
1255;1;0.000000;0.000000;0.000000;0.933333;0.066667
1728;1;0.000000;0.000000;0.000000;0.000000;0.000000
169;3;0.033333;0.033333;0.033333;0.900000;0.000000
175;1;0.000000;0.266667;0.000000;0.700000;0.033333
649;3;0.000000;0.000000;0.033333;0.900000;0.066667
1732;2;0.000000;0.033333;0.000000;0.966667;0.000000
1250;2;0.000000;0.300000;0.000000;0.666667;0.033333
1263;1;0.033333;0.033333;0.266667;0.666667;0.000000
647;5;0.133333;0.000000;0.000000;0.766667;0.100000
1738;7;0.000000;0.000000;0.033333;0.766667;0.200000
1258;2;0.100000;0.100000;0.000000;0.300000;0.500000
1257;4;0.000000;0.000000;0.000000;1.000000;0.000000
165;1;0.333333;0.066667;0.000000;0.333333;0.266667
1750;2;0.000000;0.066667;0.000000;0.833333;0.100000
188;3;0.033333;0.066667;0.000000;0.000000;0.900000
666;1;0.000000;0.166667;0.666667;0.133333;0.033333
189;2;0.000000;0.933333;0.066667;0.000000;0.000000
176;2;0.000000;0.000000;0.100000;0.833333;0.066667
1276;2;0.900000;0.033333;0.000000;0.033333;0.033333
656;1;0.000000;0.000000;0.000000;0.033333;0.966667
183;2;0.000000;0.033333;0.000000;0.966667;0.000000
1758;2;0.000000;0.266667;0.600000;0.100000;0.033333
180;3;0.033333;0.000000;0.000000;0.833333;0.133333
1759;2;0.033333;0.133333;0.000000;0.833333;0.000000
181;1;0.000000;0.033333;0.000000;0.966667;0.000000
746;6;0.033333;0.200000;0.500000;0.266667;0.000000
745;1;0.033333;0.600000;0.333333;0.000000;0.033333
207;7;0.000000;0.300000;0.066667;0.600000;0.033333
1154;2;0.000000;0.566667;0.033333;0.233333;0.166667
751;3;0.000000;0.366667;0.166667;0.466667;0.000000
1159;2;0.600000;0.000000;0.000000;0.366667;0.033333
1158;1;0.033333;0.000000;0.000000;0.033333;0.933333
748;4;0.000000;0.033333;0.600000;0.333333;0.033333
739;1;0.000000;0.233333;0.466667;0.266667;0.033333
196;1;0.066667;0.366667;0.000000;0.566667;0.000000
1709;9;0.000000;0.000000;0.000000;0.000000;1.000000
1163;3;0.133333;0.066667;0.000000;0.633333;0.166667
1708;2;0.133333;0.033333;0.066667;0.666667;0.100000
1162;2;0.066667;0.466667;0.000000;0.433333;0.033333
1165;2;0.000000;0.266667;0.000000;0.733333;0.000000
1718;1;0.000000;0.000000;9099410172065027014730893156679680.000000;0.000000;0.000000
1716;2;0.000000;0.000000;0.000000;0.966667;0.033333
1714;2;0.000000;0.000000;0.066667;0.866667;0.066667
1712;1;0.000000;0.000000;0.000000;0.933333;0.066667
1724;1;0.166667;0.633333;0.133333;0.033333;0.033333
1722;1;0.000000;0.000000;0.000000;1.000000;0.000000
1180;2;0.033333;0.000000;0.066667;0.766667;0.133333
210;7;0.300000;0.100000;0.033333;0.500000;0.066667
239;9;0.000000;0.000000;0.000000;0.000000;1.000000
712;1;0.233333;0.233333;0.000000;0.500000;0.033333
1186;2;0.700000;0.066667;0.066667;0.033333;0.133333
1184;1;0.000000;0.000000;0.000000;0.800000;0.200000
235;3;0.000000;0.000000;0.000000;1.000000;0.000000
1665;4;0.933333;0.000000;0.000000;0.000000;0.066667
717;2;0.000000;0.000000;0.000000;0.000000;0.000000
1191;1;0.000000;0.000000;0.000000;0.000000;1.000000
1664;1;0.066667;0.933333;0.000000;0.000000;0.000000
1667;2;0.133333;0.166667;0.133333;0.533333;0.033333
233;3;0.033333;0.000000;0.000000;0.900000;0.066667
1677;1;0.000000;-170146355474918162907645410264962039808.000000;0.000000;-170146355474918162907645410264962039808.000000;0.000000
705;2;0.200000;0.033333;0.433333;0.300000;0.033333
1676;1;0.233333;0.000000;0.000000;0.733333;0.033333
706;1;0.033333;0.000000;0.066667;0.866667;0.033333
708;8;0.000000;0.033333;0.833333;0.133333;0.000000
1196;4;0.000000;0.000000;0.000000;0.033333;0.966667
254;1;0.066667;0.133333;0.033333;0.766667;0.000000
1686;1;0.000000;0.133333;0.000000;0.733333;0.133333
733;4;0.000000;0.000000;0.033333;0.766667;0.200000
1207;1;0.000000;0.000000;0.066667;0.900000;0.033333
251;1;0.000000;0.000000;0.000000;0.033333;0.966667
734;1;0.000000;0.000000;0.000000;0.000000;1.000000
721;1;0.000000;0.000000;0.000000;0.966667;0.033333
1214;3;0.466667;0.100000;0.000000;0.333333;0.100000
1689;2;0.000000;0.000000;0.000000;1.000000;0.000000
240;1;0.000000;0.300000;0.000000;0.633333;0.066667
1213;1;0.000000;0.000000;0.000000;0.866667;0.133333
1691;2;0.000000;0.000000;-170146355474918162907645410264962039808.000000;0.000000;9101571615373619288690867027574784.000000
275;1;0.133333;0.033333;0.000000;0.800000;0.033333
820;1;0.000000;0.000000;0.000000;0.266667;0.733333
1373;1;0.000000;0.233333;0.533333;0.200000;0.033333
1372;2;0.000000;0.133333;0.100000;0.633333;0.133333
279;3;0.000000;0.033333;0.033333;0.933333;0.000000
817;2;0.000000;0.233333;0.033333;0.700000;0.033333
829;1;-170146355474918162907645410264962039808.000000;0.000000;0.000000;9088648140333499561311057620238336.000000;0.000000
280;3;0.266667;0.033333;0.100000;0.600000;0.000000
1362;5;0.000000;0.000000;0.000000;0.933333;0.066667
286;1;0.000000;0.033333;0.933333;0.033333;0.000000
824;1;0.000000;-170146355474918162907645410264962039808.000000;0.000000;-170146355474918162907645410264962039808.000000;0.000000
258;2;0.033333;0.066667;0.900000;0.000000;0.000000
1359;2;0.133333;0.566667;0.000000;0.233333;0.066667
1354;3;0.633333;0.033333;0.233333;0.100000;0.000000
1353;3;0.000000;0.066667;0.000000;0.833333;0.100000
1351;9;0.033333;0.033333;0.866667;0.066667;0.000000
265;2;0.000000;0.433333;0.000000;0.566667;0.000000
304;8;0.000000;0.433333;0.033333;0.533333;0.000000
307;1;0.033333;0.000000;0.933333;0.033333;0.000000
1406;7;0.000000;0.500000;0.000000;0.300000;0.200000
309;4;0.000000;0.000000;0.000000;-170146355474918162907645410264962039808.000000;0.000000
1400;4;0.000000;0.466667;0.000000;0.500000;0.033333
315;4;0.066667;0.033333;0.133333;0.700000;0.066667
1398;3;0.100000;0.033333;0.000000;0.000000;0.866667
314;4;0.200000;0.233333;0.000000;0.533333;0.033333
794;2;0.000000;0.066667;0.766667;0.166667;0.000000
1395;2;0.400000;0.100000;0.033333;0.466667;0.000000
318;5;0.000000;0.033333;0.000000;0.966667;0.000000
774;6;0.033333;0.000000;0.000000;0.966667;0.000000
1389;5;0.000000;0.100000;0.333333;0.500000;0.066667
292;9;0.000000;0.000000;0.000000;0.000000;1.000000
769;2;0.000000;0.000000;0.000000;0.000000;0.000000
1387;2;0.000000;0.033333;0.866667;0.000000;0.100000
296;1;0.033333;0.833333;0.000000;0.100000;0.033333
1382;4;0.266667;0.033333;0.000000;0.466667;0.233333
298;9;0.000000;0.000000;0.000000;0.000000;1.000000
300;3;0.000000;0.000000;0.000000;0.000000;1.000000
1376;3;0.000000;0.033333;0.866667;0.100000;0.000000
779;9;0.100000;0.033333;0.000000;0.866667;0.000000
301;1;0.000000;0.033333;0.000000;0.966667;0.000000
1307;3;0.000000;0.033333;0.900000;0.066667;0.000000
343;4;0.000000;0.000000;0.000000;0.000000;1.000000
1306;2;0.000000;0.633333;0.000000;0.300000;0.066667
341;2;0.000000;0.100000;0.566667;0.300000;0.033333
337;3;0.000000;0.033333;0.866667;0.066667;0.033333
351;8;0.033333;0.066667;0.366667;0.533333;0.000000
891;1;0.133333;0.500000;0.000000;0.333333;0.033333
1303;2;0.233333;0.066667;0.000000;0.633333;0.066667
345;1;0.033333;0.000000;0.966667;0.000000;0.000000
1300;2;0.000000;0.000000;0.000000;0.933333;0.066667
327;1;0.000000;0.000000;0.000000;0.000000;0.000000
1294;5;0.000000;0.000000;0.000000;0.000000;0.000000
1282;1;0.433333;0.033333;0.000000;0.533333;0.000000
334;4;0.566667;0.166667;0.000000;0.200000;0.066667
1283;2;0.133333;0.200000;0.000000;0.666667;0.000000
333;4;0.000000;0.000000;0.000000;0.433333;0.566667
331;5;0.000000;0.000000;0.066667;0.733333;0.200000
877;1;0.000000;0.000000;0.100000;0.866667;0.033333
1338;2;0.200000;0.000000;0.000000;0.766667;0.033333
1340;9;0.000000;0.000000;0.000000;0.000000;1.000000
371;1;0.900000;0.000000;0.033333;0.033333;0.033333
1816;1;0.033333;0.000000;0.000000;0.566667;0.400000
370;1;0.033333;0.066667;0.066667;0.833333;0.000000
1815;2;0.233333;0.033333;0.000000;0.066667;0.666667
381;2;0.233333;0.033333;0.000000;0.700000;0.033333
1328;2;0.000000;0.233333;0.000000;0.700000;0.066667
1813;6;0.000000;0.033333;0.066667;0.833333;0.066667
1330;3;0.033333;0.233333;0.000000;0.700000;0.033333
1804;1;0.066667;0.366667;0.000000;0.100000;0.466667
1322;1;0.000000;0.200000;0.033333;0.500000;0.266667
353;5;0.000000;0.000000;1.000000;0.000000;0.000000
355;9;0.000000;0.000000;0.000000;0.000000;1.000000
365;9;0.000000;0.000000;0.000000;0.000000;1.000000
1314;1;0.133333;0.233333;0.000000;0.633333;0.000000
1796;2;0.033333;0.033333;0.000000;0.000000;0.933333
841;2;0.200000;0.633333;0.033333;0.100000;0.033333
846;2;0.000000;0.000000;-nan;-nan;0.000000
845;2;0.033333;0.433333;0.000000;0.500000;0.033333
1494;1;0.000000;0.033333;0.033333;0.866667;0.066667
408;4;0.000000;0.000000;0.000000;0.000000;0.000000
414;3;0.033333;0.066667;0.066667;0.833333;0.000000
1488;2;0.033333;0.300000;0.266667;0.366667;0.033333
955;9;0.000000;0.000000;0.000000;0.000000;1.000000
1500;2;0.133333;0.066667;0.366667;0.400000;0.033333
407;1;0.033333;0.000000;0.066667;0.833333;0.066667
1496;2;0.033333;0.033333;0.866667;0.066667;0.000000
1497;2;0.000000;0.000000;0.000000;1.000000;0.000000
395;2;0.033333;0.000000;0.166667;0.266667;0.533333
1478;2;0.033333;0.633333;0.066667;0.233333;0.033333
393;3;0.000000;0.533333;0.000000;0.433333;0.033333
392;1;0.000000;0.000000;0.100000;0.800000;0.100000
937;2;0.000000;0.000000;0.000000;0.933333;0.066667
398;9;0.000000;0.000000;0.000000;0.000000;1.000000
1473;7;0.100000;0.033333;0.566667;0.266667;0.033333
386;1;0.533333;0.066667;0.000000;0.366667;0.033333
1486;4;0.000000;0.000000;0.000000;0.033333;0.966667
391;4;0.000000;0.033333;0.100000;0.700000;0.166667
388;9;0.000000;0.366667;0.000000;0.633333;0.000000
440;3;0.666667;0.033333;0.000000;0.266667;0.033333
442;1;0.000000;0.000000;0.033333;0.966667;0.000000
443;2;0.300000;0.033333;0.500000;0.166667;0.000000
922;8;0.000000;0.033333;0.166667;0.233333;0.566667
446;4;0.000000;0.033333;0.000000;0.933333;0.033333
447;9;0.000000;0.000000;0.000000;0.000000;1.000000
919;1;0.000000;0.000000;0.000000;0.866667;0.133333
1533;1;0.333333;0.066667;0.266667;0.233333;0.100000
1528;1;0.000000;0.033333;0.000000;0.100000;0.866667
913;3;0.000000;0.000000;0.000000;0.000000;0.000000
911;9;0.000000;0.000000;0.033333;0.966667;0.000000
1509;1;0.700000;0.033333;0.000000;0.266667;0.000000
1511;1;0.033333;0.033333;0.166667;0.700000;0.066667
428;6;0.233333;0.066667;0.533333;0.133333;0.033333
431;1;0.666667;0.066667;0.066667;0.200000;0.000000
904;5;0.000000;0.000000;0.000000;0.000000;0.000000
903;1;0.033333;0.000000;0.000000;0.933333;0.033333
416;1;0.000000;0.000000;0.000000;0.000000;1.000000
1519;2;0.700000;0.266667;0.000000;0.000000;0.033333
1518;1;0.666667;0.233333;0.000000;0.066667;0.033333
900;6;0.133333;0.500000;0.100000;0.200000;0.066667
899;2;0.033333;0.066667;0.433333;0.466667;0.000000
421;2;0.033333;0.633333;0.133333;0.066667;0.133333
1514;1;0.000000;0.000000;0.000000;0.833333;0.166667
478;1;0.366667;0.033333;0.566667;0.000000;0.033333
1018;4;0.466667;0.033333;0.066667;0.400000;0.033333
1019;5;0.000000;0.000000;1.000000;0.000000;0.000000
1009;7;0.000000;-170146355474918162907645410264962039808.000000;0.000000;-170146355474918162907645410264962039808.000000;0.000000
1432;1;0.000000;0.000000;0.000000;0.000000;0.000000
1012;1;0.000000;0.033333;0.000000;0.866667;0.100000
1002;1;0.066667;0.366667;0.000000;0.400000;0.166667
459;1;0.033333;0.000000;0.333333;0.233333;0.400000
1413;5;0.033333;0.000000;0.000000;0.933333;0.033333
455;3;0.033333;0.100000;0.033333;0.733333;0.100000
1416;3;0.100000;0.133333;0.700000;0.033333;0.033333
1423;8;0.000000;0.033333;0.866667;0.066667;0.033333
1457;1;0.000000;0.033333;0.000000;0.000000;0.966667
510;3;0.000000;0.500000;0.100000;0.233333;0.166667
990;1;0.366667;0.033333;0.033333;0.566667;0.000000
504;1;0.033333;0.400000;0.000000;0.333333;0.233333
991;4;0.100000;0.266667;0.000000;0.633333;0.000000
1462;3;0.166667;0.033333;0.566667;0.200000;0.033333
497;1;0.466667;0.366667;0.066667;0.000000;0.100000
1470;6;0.000000;0.000000;0.000000;0.000000;1.000000
493;3;0.000000;0.100000;0.233333;0.533333;0.133333
492;1;0.000000;0.066667;0.000000;0.866667;0.066667
974;6;0.000000;0.033333;0.000000;0.000000;0.966667
1444;1;0.000000;0.000000;0.066667;0.866667;0.066667
963;1;0.200000;0.100000;0.100000;0.366667;0.233333
1449;1;0.433333;0.033333;0.100000;0.433333;0.000000
1450;2;0.000000;0.000000;0.000000;0.033333;0.966667
960;2;0.066667;0.066667;0.566667;0.266667;0.033333
967;2;0.400000;0.033333;0.566667;0.000000;0.000000
481;1;0.000000;0.133333;0.033333;0.800000;0.033333
1455;2;0.000000;0.000000;0.000000;0.033333;0.966667
